latitude,longitude,polarity
53.474886,-2.255619,0.0
53.477741,-2.26123,0.0
53.473677,-2.254178,0.0
53.473705,-2.256128,0.0
53.474683,-2.256789,0.0
53.475336,-2.256814,0.0
53.476536,-2.256337,0.0
53.476002,-2.254509,0.11818181818181818
53.474791,-2.252776,-0.21666666666666667
53.47474,-2.258205,0.0
53.474842,-2.257186,0.0
53.47474,-2.258205,0.16666666666666666
53.474433,-2.257025,0.0
53.477011,-2.254053,0.0
53.476786,-2.257114,0.0
53.476561,-2.256481,0.0
53.475122,-2.257139,0.0
53.474552,-2.256003,0.0
53.474552,-2.255906,0.0
53.474519,-2.25532,0.0
53.475638,-2.25622,0.31927272727272726
53.475734,-2.256596,0.31927272727272726
53.475734,-2.256596,0.31927272727272726
53.475219,-2.256449,0.0
53.474746,-2.251113,-0.2625
53.4758,-2.25645,0.0
53.4757,-2.25655,0.0
53.4753,-2.25548,0.0
53.4751,-2.25468,0.0
53.4751,-2.25455,0.0
53.475,-2.25393,0.0
53.4748,-2.25076,0.0
53.477134,-2.25563,0.02886904761904762
53.474081,-2.251145,0.36266233766233763
53.474829,-2.256596,0.0
53.474829,-2.256596,0.0
53.474344,-2.256792,0.0
53.474444,-2.249723,0.0
53.474803,-2.257497,0.0
53.474031,-2.256735,0.0
53.475046,-2.256885,0.3
53.475244,-2.254782,0.0
53.474544,-2.250942,0.0
53.474569,-2.255639,0.0
53.474588,-2.25325,0.0
53.473443,-2.256113,0.0
53.474697,-2.253828,0.0
53.474586,-2.258523,0.0
53.474695,-2.258291,0.08333333333333333
53.474563,-2.255984,0.0
53.477411,-2.255308,0.5
53.477411,-2.255308,0.65
53.477411,-2.255308,0.1392857142857143
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
53.473984,-2.25645,0.0
