polarity,keywords
-0.03333333333333333,closed
0.3,"black, golden"
0.27666666666666667,"behind, satisfying, talented, very, famous"
0.033333333333333326,"small, ruins, love"
-0.2,fluffy
0.29291666666666666,"good, quick, talented, free, very"
0.12259259259259257,"pleased, few, half, brilliant, high, down, warm, typical, small, really"
0.11818181818181818,"new, old, black"
-0.2,behind
0.5,magic
0.11567682317682318,"dull, flat, raw, more, right, pretty, love, dark, little, decent, very"
0.3500000000000001,"complex, great"
-0.18333333333333335,"behind, near, sure"
0.10000000000000002,"black, awkward, wide, great, better"
0.24772727272727274,"modern, perfectly, first, originally, great, complete"
0.20000000000000004,"fantastic, old"
-0.016666666666666666,long
0.2681818181818182,"live, free"
0.34545454545454546,"live, free, entertaining"
-0.07142857142857142,single
0.19166666666666665,"few, best, great, dark, ideal"
-0.09999999999999999,"less, subtle, very"
0.00416666666666668,"less, more, slightly, dark"
0.30000000000000004,"free, straight"
0.07142857142857142,"other, much, first, original, early, partially"
-0.15000000000000002,bass
0.09999999999999998,"wrong, good"
0.5,safe
0.25,lovely
0.5,most
0.21212121212121213,"free, new, old"
0.15900974025974024,"most, frequent, many, first, popular, right, slow, great, early, complete, major"
0.25,funny
-0.12777777777777777,"closed, down"
0.3125,funny
-0.25,sure
0.4,cheap
0.35750000000000004,"guilty, magic, right, near, nice"
0.425,nice
0.1,young
-0.04166666666666666,"odd, more, weird"
-0.1875,weird
-0.08055555555555555,"other, spent, drunk"
0.75,"wonderful, love"
0.21233766233766233,"past, amazing, new, more, striking"
0.30288342609771185,"certainly, interesting, enjoy, positive, successful, originally, near, special, creative, curious, clever"
-0.375,"pretty, bored"
0.27878787878787875,"new, old, liked"
0.3214285714285715,"whole, best, alive, first, love, round, light"
0.1,modern
0.02500000000000001,"modern, ruins"
0.21726190476190474,"modern, most, missing, quickly, large, wise, great, brutal"
0.05,"modern, old, small, better"
0.13333333333333333,"marked, golden"
0.1517857142857143,"special, first"
0.011111111111111118,"strange, first, black"
0.65,"welcome, more"
-0.2,few
0.07083333333333335,"little, spent, better"
0.375,originally
0.625,superb
-0.1875,little
0.1125,"originally, dark"
-0.06666666666666667,"behind, grey"
0.55,beautiful
0.375,stunning
0.7083333333333334,"gay, happy"
-0.03749999999999999,"sad, very, normal"
-0.43333333333333335,"illegal, highly, secret"
0.3287878787878788,"new, old, great, good"
0.78,"kindly, very"
0.69,"kindly, liked, very"
0.14,"kindly, very, unfortunately"
0.11875,"originally, near"
0.08,"developed, few, more"
