latitude,longitude
53.469912,-2.215611
53.474676,-2.256875
53.473686,-2.256102
53.473686,-2.256102
53.478169,-2.257733
53.478704,-2.259625
53.474136,-2.237084
53.475161,-2.234451
53.474676,-2.258173
53.475129,-2.234644
53.474335,-2.250957
53.47518,-2.25519
53.47518,-2.25519
53.47481,-2.258774
53.47518,-2.25519
53.475193,-2.256145
53.474963,-2.256606
53.475136,-2.256596
53.475193,-2.256145
53.475625,-2.25665
53.478384,-2.262501
53.475863,-2.257153
53.472409,-2.296968
53.47518,-2.227681
53.473666,-2.256192
53.474931,-2.257722
53.474931,-2.257722
53.474931,-2.257722
53.474931,-2.257722
53.47458,-2.254911
53.474676,-2.256875
53.475365,-2.241275
53.475078,-2.255816
53.475255,-2.256137
53.476666,-2.250278
53.474931,-2.242455
53.475063,-2.257362
53.475155,-2.257173
53.474505,-2.249089
53.474535,-2.249193
53.474535,-2.249193
53.474535,-2.240749
53.475244,-2.241736
53.478547,-2.234225
53.474631,-2.257261
53.47523,-2.256237
53.476911,-2.236983
53.474554,-2.256585
53.474912,-2.25696
53.475144,-2.241675
53.474247,-2.256543
53.471671,-2.268303
53.46983,-2.296484
53.474894,-2.251828
53.476444,-2.256373
53.483925,-2.225948
53.483733,-2.225978
53.480072,-2.231648
53.478841,-2.233331
53.478841,-2.233328
53.474548,-2.257894
53.465352,-2.233904
53.474676,-2.256875
53.473677,-2.254178
53.473705,-2.256128
53.474683,-2.256789
53.476536,-2.256337
53.474759,-2.257969
53.474842,-2.257186
53.482979,-2.227703
53.474433,-2.257025
53.49278,-2.206506
53.475638,-2.25622
53.475734,-2.256596
53.475734,-2.256596
53.473965,-2.240921
53.480946,-2.221469
53.483902,-2.22604
53.483902,-2.22604
53.483902,-2.22604
53.485463,-2.232748
53.4744,-2.24535
53.474211,-2.244831
53.469086,-2.294867
53.471036,-2.288503
53.471138,-2.300219
53.483734,-2.226322
53.478119,-2.248098
53.474886,-2.23527
53.483491,-2.226601
53.483491,-2.226601
53.474829,-2.256596
53.474829,-2.256596
53.476175,-2.238507
53.476175,-2.238507
53.476373,-2.238442
53.474863,-2.235195
53.467486,-2.252045
53.467486,-2.252045
53.48238,-2.228318
53.471584,-2.295659
53.474344,-2.256792
53.482063,-2.221897
53.471821,-2.295831
53.477428,-2.235728
53.475861,-2.2399
53.474803,-2.257497
53.482497,-2.250941
53.474544,-2.250942
53.474569,-2.255639
53.474586,-2.258523
53.480272,-2.229378
53.470269,-2.291711
53.48238,-2.228318
53.474527,-2.248242
53.473697,-2.245956
53.478773,-2.233829
53.475244,-2.254782
